Category,Parameter,Best_f1,Best_config,Measure
Bose J,,0.8425531914893617,"(300.0, 2.0)",10.0
Bose WC,,0.8009592326139089,"(200.0, 2.0)",10.0
Earth Mover's Distance,,0.9197396963123644,"(300.0, 2.0)",10.0
LCDD,,0.5757162346521146,"(400.0, 400.0, 5.0)",10.0
Martjushev ADWIN J,,0.7989690721649485,"(400.0, 500.0, 0.4, 20.0)",10.0
ProDrift,,0.5225806451612903,"(300.0, 2.0)",10.0
Process Graph Metrics,,0.8271028037383178,"(300.0, 700.0, 0.1)",10.0
Zheng DBSCAN,,0.5864661654135338,"(300.0, 150.0)",10.0
Bose J,,0.8680851063829788,"(300.0, 2.0)",15.0
Bose WC,,0.8393285371702638,"(200.0, 2.0)",15.0
Earth Mover's Distance,,0.9197396963123644,"(300.0, 2.0)",15.0
LCDD,,0.6204819277108434,"(1200.0, 1200.0, 5.0)",15.0
Martjushev ADWIN J,,0.8232323232323232,"(400.0, 700.0, 0.4, 20.0)",15.0
ProDrift,,0.5225806451612903,"(300.0, 2.0)",15.0
Process Graph Metrics,,0.8873239436619719,"(400.0, 700.0, 0.1)",15.0
Zheng DBSCAN,,0.5864661654135338,"(300.0, 150.0)",15.0
Bose J,,0.0829268292682926,"(400.0, 2.0)",1.0
Bose WC,,0.158273381294964,"(200.0, 2.0)",1.0
Earth Mover's Distance,,0.0779220779220779,"(500.0, 2.0)",1.0
LCDD,,0.1788321167883211,"(200.0, 200.0, 5.0)",1.0
Martjushev ADWIN J,,0.1670886075949367,"(100.0, 700.0, 0.4, 50.0)",1.0
ProDrift,,0.4774193548387096,"(300.0, 2.0)",1.0
Process Graph Metrics,,0.2978723404255319,"(300.0, 400.0, 0.1)",1.0
Zheng DBSCAN,,0.0298507462686567,"(300.0, 30.0)",1.0
Bose J,,0.8723404255319149,"(300.0, 2.0)",20.0
Bose WC,,0.8537170263788969,"(200.0, 2.0)",20.0
Earth Mover's Distance,,0.9197396963123644,"(300.0, 2.0)",20.0
LCDD,,0.6204819277108434,"(1200.0, 1200.0, 5.0)",20.0
Martjushev ADWIN J,,0.840506329113924,"(300.0, 700.0, 0.4, 10.0)",20.0
ProDrift,,0.5225806451612903,"(300.0, 2.0)",20.0
Process Graph Metrics,,0.8920187793427231,"(400.0, 700.0, 0.1)",20.0
Zheng DBSCAN,,0.8370927318295739,"(300.0, 150.0)",20.0
Bose J,,0.5594405594405594,"(100.0, 2.0)",2.5
Bose WC,,0.4864864864864864,"(100.0, 2.0)",2.5
Earth Mover's Distance,,0.7083333333333334,"(600.0, 2.0)",2.5
LCDD,,0.2043795620437956,"(200.0, 200.0, 5.0)",2.5
Martjushev ADWIN J,,0.3444730077120823,"(100.0, 500.0, 0.4, 50.0)",2.5
ProDrift,,0.5225806451612903,"(300.0, 2.0)",2.5
Process Graph Metrics,,0.5133689839572192,"(200.0, 400.0, 0.005)",2.5
Zheng DBSCAN,,0.2448979591836735,"(500.0, 100.0)",2.5
Bose J,,0.8723404255319149,"(300.0, 2.0)",25.0
Bose WC,,0.8537170263788969,"(200.0, 2.0)",25.0
Earth Mover's Distance,,0.9197396963123644,"(300.0, 2.0)",25.0
LCDD,,0.6204819277108434,"(1200.0, 1200.0, 5.0)",25.0
Martjushev ADWIN J,,0.840506329113924,"(100.0, 700.0, 0.4, 10.0)",25.0
ProDrift,,0.5225806451612903,"(300.0, 2.0)",25.0
Process Graph Metrics,,0.9014084507042252,"(400.0, 700.0, 0.1)",25.0
Zheng DBSCAN,,0.8370927318295739,"(300.0, 150.0)",25.0
Bose J,,0.6993006993006993,"(100.0, 2.0)",5.0
Bose WC,,0.7194244604316546,"(200.0, 2.0)",5.0
Earth Mover's Distance,,0.7864583333333334,"(600.0, 2.0)",5.0
LCDD,,0.3484486873508353,"(300.0, 300.0, 5.0)",5.0
Martjushev ADWIN J,,0.5918367346938775,"(100.0, 600.0, 0.4, 50.0)",5.0
ProDrift,,0.5225806451612903,"(300.0, 2.0)",5.0
Process Graph Metrics,,0.7230046948356808,"(200.0, 700.0, 0.05)",5.0
Zheng DBSCAN,,0.4098765432098765,"(300.0, 120.0)",5.0
