Category,Parameter,F1,Precision,Recall,Measure
Bose J,"(100.0, 2.0)",0.0699300699300699,0.075,0.0655021834061135,1.0
Bose J,"(200.0, 2.0)",0.0343511450381679,0.0305084745762711,0.0393013100436681,1.0
Bose J,"(300.0, 2.0)",0.076595744680851,0.0746887966804979,0.0786026200873362,1.0
Bose J,"(400.0, 2.0)",0.0829268292682926,0.0939226519337016,0.074235807860262,1.0
Bose J,"(500.0, 2.0)",0.0714285714285714,0.0858895705521472,0.0611353711790393,1.0
Bose J,"(600.0, 2.0)",0.0623376623376623,0.0769230769230769,0.0524017467248908,1.0
Bose WC,"(100.0, 2.0)",0.1189189189189189,0.1560283687943262,0.0960698689956331,1.0
Bose WC,"(200.0, 2.0)",0.158273381294964,0.175531914893617,0.1441048034934497,1.0
Bose WC,"(300.0, 2.0)",0.0835509138381201,0.1038961038961039,0.0698689956331877,1.0
Bose WC,"(400.0, 2.0)",0.0769230769230769,0.1037037037037037,0.0611353711790393,1.0
Bose WC,"(500.0, 2.0)",0.0864553314121037,0.1271186440677966,0.0655021834061135,1.0
Bose WC,"(600.0, 2.0)",0.0879120879120879,0.2727272727272727,0.0524017467248908,1.0
Earth Mover's Distance,"(100.0, 2.0)",0.0397614314115308,0.0364963503649635,0.0436681222707423,1.0
Earth Mover's Distance,"(200.0, 2.0)",0.027027027027027,0.0242214532871972,0.0305676855895196,1.0
Earth Mover's Distance,"(300.0, 2.0)",0.0303687635574837,0.0301724137931034,0.0305676855895196,1.0
Earth Mover's Distance,"(400.0, 2.0)",0.0661577608142493,0.0792682926829268,0.056768558951965,1.0
Earth Mover's Distance,"(500.0, 2.0)",0.0779220779220779,0.0961538461538461,0.0655021834061135,1.0
Earth Mover's Distance,"(600.0, 2.0)",0.0364583333333333,0.0451612903225806,0.0305676855895196,1.0
LCDD,"(100.0, 100.0, 5.0)",0.1134676564156946,0.0645745322872661,0.4672489082969432,1.0
LCDD,"(100.0, 100.0, 10.0)",0.1134676564156946,0.0645745322872661,0.4672489082969432,1.0
LCDD,"(100.0, 100.0, 20.0)",0.1134676564156946,0.0645745322872661,0.4672489082969432,1.0
LCDD,"(100.0, 100.0, 50.0)",0.1134676564156946,0.0645745322872661,0.4672489082969432,1.0
LCDD,"(100.0, 100.0, 100.0)",0.1134676564156946,0.0645745322872661,0.4672489082969432,1.0
LCDD,"(100.0, 100.0, 150.0)",0.1134676564156946,0.0645745322872661,0.4672489082969432,1.0
LCDD,"(100.0, 100.0, 200.0)",0.1134676564156946,0.0645745322872661,0.4672489082969432,1.0
LCDD,"(200.0, 200.0, 5.0)",0.1788321167883211,0.113033448673587,0.4279475982532751,1.0
LCDD,"(200.0, 200.0, 10.0)",0.1788321167883211,0.113033448673587,0.4279475982532751,1.0
LCDD,"(200.0, 200.0, 20.0)",0.1788321167883211,0.113033448673587,0.4279475982532751,1.0
LCDD,"(200.0, 200.0, 50.0)",0.1788321167883211,0.113033448673587,0.4279475982532751,1.0
LCDD,"(200.0, 200.0, 100.0)",0.1788321167883211,0.113033448673587,0.4279475982532751,1.0
LCDD,"(200.0, 200.0, 150.0)",0.1788321167883211,0.113033448673587,0.4279475982532751,1.0
LCDD,"(200.0, 200.0, 200.0)",0.1788321167883211,0.113033448673587,0.4279475982532751,1.0
LCDD,"(300.0, 300.0, 5.0)",0.0071599045346062,0.0049261083743842,0.0131004366812227,1.0
LCDD,"(300.0, 300.0, 10.0)",0.0071599045346062,0.0049261083743842,0.0131004366812227,1.0
LCDD,"(300.0, 300.0, 20.0)",0.0071599045346062,0.0049261083743842,0.0131004366812227,1.0
LCDD,"(300.0, 300.0, 50.0)",0.0071599045346062,0.0049261083743842,0.0131004366812227,1.0
LCDD,"(300.0, 300.0, 100.0)",0.0071599045346062,0.0049261083743842,0.0131004366812227,1.0
LCDD,"(300.0, 300.0, 150.0)",0.0071599045346062,0.0049261083743842,0.0131004366812227,1.0
LCDD,"(300.0, 300.0, 200.0)",0.0071599045346062,0.0049261083743842,0.0131004366812227,1.0
LCDD,"(400.0, 400.0, 5.0)",0.1418826739427012,0.1031746031746031,0.2270742358078602,1.0
LCDD,"(400.0, 400.0, 10.0)",0.1418826739427012,0.1031746031746031,0.2270742358078602,1.0
LCDD,"(400.0, 400.0, 20.0)",0.1418826739427012,0.1031746031746031,0.2270742358078602,1.0
LCDD,"(400.0, 400.0, 50.0)",0.1418826739427012,0.1031746031746031,0.2270742358078602,1.0
LCDD,"(400.0, 400.0, 100.0)",0.1418826739427012,0.1031746031746031,0.2270742358078602,1.0
LCDD,"(400.0, 400.0, 150.0)",0.1418826739427012,0.1031746031746031,0.2270742358078602,1.0
