Category,Parameter,F1,Precision,Recall,Measure
Bose J,"(400.0, 2.0)",0.0829268292682926,0.0939226519337016,0.074235807860262,1.0
Bose J,"(100.0, 2.0)",0.5594405594405594,0.6,0.5240174672489083,2.5
Bose J,"(100.0, 2.0)",0.6993006993006993,0.75,0.6550218340611353,5.0
Bose J,"(300.0, 2.0)",0.8425531914893617,0.8215767634854771,0.8646288209606987,10.0
Bose J,"(300.0, 2.0)",0.8680851063829788,0.8464730290456431,0.8908296943231441,15.0
Bose J,"(300.0, 2.0)",0.8723404255319149,0.8506224066390041,0.8951965065502183,20.0
Bose J,"(300.0, 2.0)",0.8723404255319149,0.8506224066390041,0.8951965065502183,25.0
Bose WC,"(200.0, 2.0)",0.158273381294964,0.175531914893617,0.1441048034934497,1.0
Bose WC,"(100.0, 2.0)",0.4864864864864864,0.6382978723404256,0.3930131004366812,2.5
Bose WC,"(200.0, 2.0)",0.7194244604316546,0.7978723404255319,0.6550218340611353,5.0
Bose WC,"(200.0, 2.0)",0.8009592326139089,0.8882978723404256,0.7292576419213974,10.0
Bose WC,"(200.0, 2.0)",0.8393285371702638,0.9308510638297872,0.7641921397379913,15.0
Bose WC,"(200.0, 2.0)",0.8537170263788969,0.946808510638298,0.777292576419214,20.0
Bose WC,"(200.0, 2.0)",0.8537170263788969,0.946808510638298,0.777292576419214,25.0
Earth Mover's Distance,"(500.0, 2.0)",0.0779220779220779,0.0961538461538461,0.0655021834061135,1.0
Earth Mover's Distance,"(600.0, 2.0)",0.7083333333333334,0.8774193548387097,0.5938864628820961,2.5
Earth Mover's Distance,"(600.0, 2.0)",0.7864583333333334,0.9741935483870968,0.6593886462882096,5.0
Earth Mover's Distance,"(300.0, 2.0)",0.9197396963123644,0.913793103448276,0.925764192139738,10.0
Earth Mover's Distance,"(300.0, 2.0)",0.9197396963123644,0.913793103448276,0.925764192139738,15.0
Earth Mover's Distance,"(300.0, 2.0)",0.9197396963123644,0.913793103448276,0.925764192139738,20.0
Earth Mover's Distance,"(300.0, 2.0)",0.9197396963123644,0.913793103448276,0.925764192139738,25.0
LCDD,"(200.0, 200.0, 5.0)",0.1788321167883211,0.113033448673587,0.4279475982532751,1.0
LCDD,"(200.0, 200.0, 5.0)",0.2043795620437956,0.1291810841983852,0.4890829694323144,2.5
LCDD,"(300.0, 300.0, 5.0)",0.3484486873508353,0.2397372742200328,0.6375545851528385,5.0
LCDD,"(400.0, 400.0, 5.0)",0.5757162346521146,0.4186507936507936,0.9213973799126638,10.0
LCDD,"(1200.0, 1200.0, 5.0)",0.6204819277108434,1.0,0.4497816593886463,15.0
LCDD,"(1200.0, 1200.0, 5.0)",0.6204819277108434,1.0,0.4497816593886463,20.0
LCDD,"(1200.0, 1200.0, 5.0)",0.6204819277108434,1.0,0.4497816593886463,25.0
Martjushev ADWIN J,"(100.0, 700.0, 0.4, 50.0)",0.1670886075949367,0.1987951807228915,0.1441048034934497,1.0
Martjushev ADWIN J,"(100.0, 500.0, 0.4, 50.0)",0.3444730077120823,0.41875,0.2925764192139738,2.5
Martjushev ADWIN J,"(100.0, 600.0, 0.4, 50.0)",0.5918367346938775,0.7116564417177914,0.5065502183406113,5.0
Martjushev ADWIN J,"(400.0, 500.0, 0.4, 20.0)",0.7989690721649485,0.9748427672955976,0.6768558951965066,10.0
Martjushev ADWIN J,"(400.0, 700.0, 0.4, 20.0)",0.8232323232323232,0.9760479041916168,0.7117903930131004,15.0
Martjushev ADWIN J,"(300.0, 700.0, 0.4, 10.0)",0.840506329113924,1.0,0.7248908296943232,20.0
Martjushev ADWIN J,"(100.0, 700.0, 0.4, 10.0)",0.840506329113924,1.0,0.7248908296943232,25.0
ProDrift,"(300.0, 2.0)",0.4774193548387096,0.9135802469135802,0.3231441048034934,1.0
ProDrift,"(300.0, 2.0)",0.5225806451612903,1.0,0.3537117903930131,2.5
ProDrift,"(300.0, 2.0)",0.5225806451612903,1.0,0.3537117903930131,5.0
ProDrift,"(300.0, 2.0)",0.5225806451612903,1.0,0.3537117903930131,10.0
ProDrift,"(300.0, 2.0)",0.5225806451612903,1.0,0.3537117903930131,15.0
ProDrift,"(300.0, 2.0)",0.5225806451612903,1.0,0.3537117903930131,20.0
ProDrift,"(300.0, 2.0)",0.5225806451612903,1.0,0.3537117903930131,25.0
Process Graph Metrics,"(300.0, 400.0, 0.1)",0.2978723404255319,0.3247422680412371,0.2751091703056768,1.0
Process Graph Metrics,"(200.0, 400.0, 0.005)",0.5133689839572192,0.6620689655172414,0.4192139737991266,2.5
Process Graph Metrics,"(200.0, 700.0, 0.05)",0.7230046948356808,0.7817258883248731,0.6724890829694323,5.0
Process Graph Metrics,"(300.0, 700.0, 0.1)",0.8271028037383178,0.8894472361809045,0.7729257641921398,10.0
Process Graph Metrics,"(400.0, 700.0, 0.1)",0.8873239436619719,0.9593908629441624,0.8253275109170306,15.0
Process Graph Metrics,"(400.0, 700.0, 0.1)",0.8920187793427231,0.964467005076142,0.8296943231441049,20.0
Process Graph Metrics,"(400.0, 700.0, 0.1)",0.9014084507042252,0.9746192893401016,0.8384279475982532,25.0
Zheng DBSCAN,"(300.0, 30.0)",0.0298507462686567,0.0291666666666666,0.0305676855895196,1.0
Zheng DBSCAN,"(500.0, 100.0)",0.2448979591836735,0.3684210526315789,0.1834061135371179,2.5
Zheng DBSCAN,"(300.0, 120.0)",0.4098765432098765,0.4715909090909091,0.3624454148471616,5.0
Zheng DBSCAN,"(300.0, 150.0)",0.5864661654135338,0.6882352941176471,0.5109170305676856,10.0
Zheng DBSCAN,"(300.0, 150.0)",0.5864661654135338,0.6882352941176471,0.5109170305676856,15.0
Zheng DBSCAN,"(300.0, 150.0)",0.8370927318295739,0.9823529411764704,0.7292576419213974,20.0
Zheng DBSCAN,"(300.0, 150.0)",0.8370927318295739,0.9823529411764704,0.7292576419213974,25.0
