Category,Parameter,F1,Precision,Recall,Measure
Bose J,"(400.0, 2.0)",0.082926829,0.093922652,0.074235808,1
Bose J,"(100.0, 2.0)",0.559440559,0.6,0.524017467,2.5
Bose J,"(100.0, 2.0)",0.699300699,0.75,0.655021834,5
Bose J,"(300.0, 2.0)",0.842553191,0.821576763,0.864628821,10
Bose J,"(300.0, 2.0)",0.868085106,0.846473029,0.890829694,15
Bose J,"(300.0, 2.0)",0.872340426,0.850622407,0.895196507,20
Bose J,"(300.0, 2.0)",0.872340426,0.850622407,0.895196507,25
Bose WC,"(200.0, 2.0)",0.158273381,0.175531915,0.144104803,1
Bose WC,"(100.0, 2.0)",0.486486486,0.638297872,0.3930131,2.5
Bose WC,"(200.0, 2.0)",0.71942446,0.79787234,0.655021834,5
Bose WC,"(200.0, 2.0)",0.800959233,0.888297872,0.729257642,10
Bose WC,"(200.0, 2.0)",0.839328537,0.930851064,0.76419214,15
Bose WC,"(200.0, 2.0)",0.853717026,0.946808511,0.777292576,20
Bose WC,"(200.0, 2.0)",0.853717026,0.946808511,0.777292576,25
Earth Mover's Distance,"(500.0, 2.0)",0.077922078,0.096153846,0.065502183,1
Earth Mover's Distance,"(600.0, 2.0)",0.708333333,0.877419355,0.593886463,2.5
Earth Mover's Distance,"(600.0, 2.0)",0.786458333,0.974193548,0.659388646,5
Earth Mover's Distance,"(300.0, 2.0)",0.919739696,0.913793103,0.925764192,10
Earth Mover's Distance,"(300.0, 2.0)",0.919739696,0.913793103,0.925764192,15
Earth Mover's Distance,"(300.0, 2.0)",0.919739696,0.913793103,0.925764192,20
Earth Mover's Distance,"(300.0, 2.0)",0.919739696,0.913793103,0.925764192,25
LCDD,"(200.0, 200.0, 5.0)",0.178832117,0.113033449,0.427947598,1
LCDD,"(200.0, 200.0, 5.0)",0.204379562,0.129181084,0.489082969,2.5
LCDD,"(300.0, 300.0, 5.0)",0.348448687,0.239737274,0.637554585,5
LCDD,"(400.0, 400.0, 5.0)",0.575716235,0.418650794,0.92139738,10
LCDD,"(1200.0, 1200.0, 5.0)",0.620481928,1,0.449781659,15
LCDD,"(1200.0, 1200.0, 5.0)",0.620481928,1,0.449781659,20
LCDD,"(1200.0, 1200.0, 5.0)",0.620481928,1,0.449781659,25
Martjushev ADWIN J,"(100.0, 700.0, 0.4, 50.0)",0.167088608,0.198795181,0.144104803,1
Martjushev ADWIN J,"(100.0, 500.0, 0.4, 50.0)",0.344473008,0.41875,0.292576419,2.5
Martjushev ADWIN J,"(100.0, 600.0, 0.4, 50.0)",0.591836735,0.711656442,0.506550218,5
Martjushev ADWIN J,"(400.0, 500.0, 0.4, 20.0)",0.798969072,0.974842767,0.676855895,10
Martjushev ADWIN J,"(400.0, 700.0, 0.4, 20.0)",0.823232323,0.976047904,0.711790393,15
Martjushev ADWIN J,"(300.0, 700.0, 0.4, 10.0)",0.840506329,1,0.72489083,20
Martjushev ADWIN J,"(100.0, 700.0, 0.4, 10.0)",0.840506329,1,0.72489083,25
ProDrift,"(300.0, 2.0)",0.477419355,0.913580247,0.323144105,1
ProDrift,"(300.0, 2.0)",0.522580645,1,0.35371179,2.5
ProDrift,"(300.0, 2.0)",0.522580645,1,0.35371179,5
ProDrift,"(300.0, 2.0)",0.522580645,1,0.35371179,10
ProDrift,"(300.0, 2.0)",0.522580645,1,0.35371179,15
ProDrift,"(300.0, 2.0)",0.522580645,1,0.35371179,20
ProDrift,"(300.0, 2.0)",0.522580645,1,0.35371179,25
Process Graph Metrics,"(300.0, 400.0, 0.1)",0.29787234,0.324742268,0.27510917,1
Process Graph Metrics,"(200.0, 400.0, 0.005)",0.513368984,0.662068966,0.419213974,2.5
Process Graph Metrics,"(200.0, 700.0, 0.05)",0.723004695,0.781725888,0.672489083,5
Process Graph Metrics,"(300.0, 700.0, 0.1)",0.827102804,0.889447236,0.772925764,10
Process Graph Metrics,"(400.0, 700.0, 0.1)",0.887323944,0.959390863,0.825327511,15
Process Graph Metrics,"(400.0, 700.0, 0.1)",0.892018779,0.964467005,0.829694323,20
Process Graph Metrics,"(400.0, 700.0, 0.1)",0.901408451,0.974619289,0.838427948,25
Zheng DBSCAN,"(300.0, 30.0)",0.029850746,0.029166667,0.030567686,1
Zheng DBSCAN,"(500.0, 100.0)",0.244897959,0.368421053,0.183406114,2.5
Zheng DBSCAN,"(300.0, 120.0)",0.409876543,0.471590909,0.362445415,5
Zheng DBSCAN,"(300.0, 150.0)",0.586466165,0.688235294,0.510917031,10
Zheng DBSCAN,"(300.0, 150.0)",0.586466165,0.688235294,0.510917031,15
Zheng DBSCAN,"(300.0, 150.0)",0.837092732,0.982352941,0.729257642,20
Zheng DBSCAN,"(300.0, 150.0)",0.837092732,0.982352941,0.729257642,25
