Category,Parameter,F1,Precision,Recall
Bose J,"(100.0, 2.0)",0.6993006993006993,0.75,0.6550218340611353
Bose J,"(200.0, 2.0)",0.6259541984732825,0.5559322033898305,0.7161572052401747
Bose J,"(300.0, 2.0)",0.6553191489361702,0.6390041493775933,0.6724890829694323
Bose J,"(400.0, 2.0)",0.624390243902439,0.7071823204419889,0.5589519650655022
Bose J,"(500.0, 2.0)",0.6632653061224489,0.7975460122699386,0.5676855895196506
Bose J,"(600.0, 2.0)",0.6025974025974026,0.7435897435897436,0.5065502183406113
Bose WC,"(100.0, 2.0)",0.681081081081081,0.8936170212765957,0.5502183406113537
Bose WC,"(200.0, 2.0)",0.7194244604316546,0.7978723404255319,0.6550218340611353
Bose WC,"(300.0, 2.0)",0.5744125326370758,0.7142857142857143,0.48034934497816595
Bose WC,"(400.0, 2.0)",0.532967032967033,0.7185185185185186,0.42358078602620086
Bose WC,"(500.0, 2.0)",0.42074927953890495,0.6186440677966102,0.31877729257641924
Bose WC,"(600.0, 2.0)",0.21245421245421245,0.6590909090909091,0.12663755458515283
Earth Mover's Distance,"(100.0, 2.0)",0.6322067594433399,0.5802919708029197,0.6943231441048034
Earth Mover's Distance,"(200.0, 2.0)",0.6293436293436293,0.5640138408304498,0.7117903930131004
Earth Mover's Distance,"(300.0, 2.0)",0.7071583514099783,0.7025862068965517,0.7117903930131004
Earth Mover's Distance,"(400.0, 2.0)",0.7582697201017812,0.9085365853658537,0.6506550218340611
Earth Mover's Distance,"(500.0, 2.0)",0.7844155844155845,0.967948717948718,0.6593886462882096
Earth Mover's Distance,"(600.0, 2.0)",0.7864583333333334,0.9741935483870968,0.6593886462882096
LCDD,"(100.0, 100.0, 5.0)",0.15270413573700956,0.08690404345202173,0.62882096069869
LCDD,"(100.0, 100.0, 10.0)",0.15270413573700956,0.08690404345202173,0.62882096069869
LCDD,"(100.0, 100.0, 20.0)",0.15270413573700956,0.08690404345202173,0.62882096069869
LCDD,"(100.0, 100.0, 50.0)",0.15270413573700956,0.08690404345202173,0.62882096069869
LCDD,"(100.0, 100.0, 100.0)",0.15270413573700956,0.08690404345202173,0.62882096069869
LCDD,"(100.0, 100.0, 150.0)",0.15270413573700956,0.08690404345202173,0.62882096069869
LCDD,"(100.0, 100.0, 200.0)",0.15270413573700956,0.08690404345202173,0.62882096069869
LCDD,"(200.0, 200.0, 5.0)",0.2627737226277372,0.16608996539792387,0.62882096069869
LCDD,"(200.0, 200.0, 10.0)",0.2627737226277372,0.16608996539792387,0.62882096069869
LCDD,"(200.0, 200.0, 20.0)",0.2627737226277372,0.16608996539792387,0.62882096069869
