,log_name,noise_level,complexity,drift_pattern,n_drifts,n_change_points,n_sudden,n_gradual,drift_type,actual_cp,detected_cp,log_size,lag,lag_indices,TP,FP,FN_TP
0,log_1000_1708942931.xes,0.0,na,[],0,0,0,0,no_drift,[0],[0],3722,0.01,37,1,0,1
1,log_1000_1708942931.xes,0.0,na,[],0,0,0,0,sudden,[],[],3722,0.01,37,0,0,0
2,log_1000_1708942931.xes,0.0,na,[],0,0,0,0,gradual_start,[],[],3722,0.01,37,0,0,0
3,log_1000_1708942931.xes,0.0,na,[],0,0,0,0,gradual_end,[],[],3722,0.01,37,0,0,0
4,log_1001_1708942933.xes,0.6,na,"['gradual', 'gradual']",2,4,0,2,no_drift,[],[],5331,0.01,53,0,0,0
5,log_1001_1708942933.xes,0.6,na,"['gradual', 'gradual']",2,4,0,2,sudden,[],"[2101, 3794]",5331,0.01,53,0,2,0
6,log_1001_1708942933.xes,0.6,na,"['gradual', 'gradual']",2,4,0,2,gradual_start,"[1935, 3671]",[],5331,0.01,53,0,0,2
7,log_1001_1708942933.xes,0.6,na,"['gradual', 'gradual']",2,4,0,2,gradual_end,"[2275, 4225]",[],5331,0.01,53,0,0,2
8,log_1002_1708942938.xes,0.0,na,['gradual'],1,2,0,1,no_drift,[],[],3700,0.01,37,0,0,0
9,log_1002_1708942938.xes,0.0,na,['gradual'],1,2,0,1,sudden,[],[2012],3700,0.01,37,0,1,0
10,log_1002_1708942938.xes,0.0,na,['gradual'],1,2,0,1,gradual_start,[1891],[],3700,0.01,37,0,0,1
11,log_1002_1708942938.xes,0.0,na,['gradual'],1,2,0,1,gradual_end,[2281],[],3700,0.01,37,0,0,1
12,log_1003_1708942940.xes,0.3,na,['sudden'],1,1,1,0,no_drift,[],[0],2608,0.01,26,0,1,0
13,log_1003_1708942940.xes,0.3,na,['sudden'],1,1,1,0,sudden,[1296],[],2608,0.01,26,0,0,1
14,log_1003_1708942940.xes,0.3,na,['sudden'],1,1,1,0,gradual_start,[],[],2608,0.01,26,0,0,0
15,log_1003_1708942940.xes,0.3,na,['sudden'],1,1,1,0,gradual_end,[],[],2608,0.01,26,0,0,0
16,log_1004_1708942942.xes,0.0,na,"['gradual', 'sudden']",2,3,1,1,no_drift,[],[],4487,0.01,44,0,0,0
17,log_1004_1708942942.xes,0.0,na,"['gradual', 'sudden']",2,3,1,1,sudden,[3149],[3165],4487,0.01,44,1,0,1
18,log_1004_1708942942.xes,0.0,na,"['gradual', 'sudden']",2,3,1,1,gradual_start,[1185],[],4487,0.01,44,0,0,1
19,log_1004_1708942942.xes,0.0,na,"['gradual', 'sudden']",2,3,1,1,gradual_end,[1530],[],4487,0.01,44,0,0,1
20,log_1005_1708942944.xes,0.0,na,['gradual'],1,2,0,1,no_drift,[],[],4120,0.01,41,0,0,0
21,log_1005_1708942944.xes,0.0,na,['gradual'],1,2,0,1,sudden,[],[1894],4120,0.01,41,0,1,0
22,log_1005_1708942944.xes,0.0,na,['gradual'],1,2,0,1,gradual_start,[1863],[],4120,0.01,41,0,0,1
23,log_1005_1708942944.xes,0.0,na,['gradual'],1,2,0,1,gradual_end,[2166],[],4120,0.01,41,0,0,1
24,log_1006_1708942947.xes,0.0,na,['gradual'],1,2,0,1,no_drift,[],[],3236,0.01,32,0,0,0
25,log_1006_1708942947.xes,0.0,na,['gradual'],1,2,0,1,sudden,[],[1343],3236,0.01,32,0,1,0
26,log_1006_1708942947.xes,0.0,na,['gradual'],1,2,0,1,gradual_start,[1121],[],3236,0.01,32,0,0,1
27,log_1006_1708942947.xes,0.0,na,['gradual'],1,2,0,1,gradual_end,[1630],[],3236,0.01,32,0,0,1
28,log_1007_1708942952.xes,0.0,na,"['gradual', 'gradual']",2,4,0,2,no_drift,[],[],5332,0.01,53,0,0,0
29,log_1007_1708942952.xes,0.0,na,"['gradual', 'gradual']",2,4,0,2,sudden,[],"[1675, 3739]",5332,0.01,53,0,2,0
30,log_1007_1708942952.xes,0.0,na,"['gradual', 'gradual']",2,4,0,2,gradual_start,"[1328, 3635]",[],5332,0.01,53,0,0,2
31,log_1007_1708942952.xes,0.0,na,"['gradual', 'gradual']",2,4,0,2,gradual_end,"[1732, 4141]",[],5332,0.01,53,0,0,2
32,log_1008_1708942956.xes,0.0,na,"['sudden', 'gradual', 'gradual']",3,5,1,2,no_drift,[],[0],6595,0.01,65,0,1,0
33,log_1008_1708942956.xes,0.0,na,"['sudden', 'gradual', 'gradual']",3,5,1,2,sudden,[1870],[],6595,0.01,65,0,0,1
34,log_1008_1708942956.xes,0.0,na,"['sudden', 'gradual', 'gradual']",3,5,1,2,gradual_start,"[3275, 5000]",[],6595,0.01,65,0,0,2
35,log_1008_1708942956.xes,0.0,na,"['sudden', 'gradual', 'gradual']",3,5,1,2,gradual_end,"[3845, 5552]",[],6595,0.01,65,0,0,2
36,log_1009_1708942959.xes,0.6,na,"['sudden', 'sudden', 'sudden']",3,3,3,0,no_drift,[],[],7169,0.01,71,0,0,0
37,log_1009_1708942959.xes,0.6,na,"['sudden', 'sudden', 'sudden']",3,3,3,0,sudden,"[1749, 3355, 5348]","[1782, 3522]",7169,0.01,71,1,1,3
38,log_1009_1708942959.xes,0.6,na,"['sudden', 'sudden', 'sudden']",3,3,3,0,gradual_start,[],[],7169,0.01,71,0,0,0
39,log_1009_1708942959.xes,0.6,na,"['sudden', 'sudden', 'sudden']",3,3,3,0,gradual_end,[],[],7169,0.01,71,0,0,0
40,log_100_1708942821.xes,0.0,na,['sudden'],1,1,1,0,no_drift,[],[],2112,0.01,21,0,0,0
41,log_100_1708942821.xes,0.0,na,['sudden'],1,1,1,0,sudden,[1036],[1009],2112,0.01,21,0,1,1
42,log_100_1708942821.xes,0.0,na,['sudden'],1,1,1,0,gradual_start,[],[],2112,0.01,21,0,0,0
43,log_100_1708942821.xes,0.0,na,['sudden'],1,1,1,0,gradual_end,[],[],2112,0.01,21,0,0,0
44,log_1010_1708942967.xes,0.0,na,"['sudden', 'gradual']",2,3,1,1,no_drift,[],[],5537,0.01,55,0,0,0
45,log_1010_1708942967.xes,0.0,na,"['sudden', 'gradual']",2,3,1,1,sudden,[1429],[1365],5537,0.01,55,0,1,1
46,log_1010_1708942967.xes,0.0,na,"['sudden', 'gradual']",2,3,1,1,gradual_start,[3355],[],5537,0.01,55,0,0,1
47,log_1010_1708942967.xes,0.0,na,"['sudden', 'gradual']",2,3,1,1,gradual_end,[3908],[],5537,0.01,55,0,0,1
48,log_1011_1708942978.xes,0.0,na,"['sudden', 'sudden', 'sudden']",3,3,3,0,no_drift,[],[],6666,0.01,66,0,0,0
49,log_1011_1708942978.xes,0.0,na,"['sudden', 'sudden', 'sudden']",3,3,3,0,sudden,"[1734, 3470, 4902]","[1726, 2857, 3450, 4891, 6218]",6666,0.01,66,3,2,3
50,log_1011_1708942978.xes,0.0,na,"['sudden', 'sudden', 'sudden']",3,3,3,0,gradual_start,[],[],6666,0.01,66,0,0,0
51,log_1011_1708942978.xes,0.0,na,"['sudden', 'sudden', 'sudden']",3,3,3,0,gradual_end,[],[],6666,0.01,66,0,0,0
52,log_1012_1708942983.xes,0.3,na,"['sudden', 'sudden']",2,2,2,0,no_drift,[],[],4477,0.01,44,0,0,0
53,log_1012_1708942983.xes,0.3,na,"['sudden', 'sudden']",2,2,2,0,sudden,"[1661, 3049]",[1863],4477,0.01,44,0,1,2
54,log_1012_1708942983.xes,0.3,na,"['sudden', 'sudden']",2,2,2,0,gradual_start,[],[],4477,0.01,44,0,0,0
55,log_1012_1708942983.xes,0.3,na,"['sudden', 'sudden']",2,2,2,0,gradual_end,[],[],4477,0.01,44,0,0,0
56,log_1013_1708942989.xes,0.3,na,[],0,0,0,0,no_drift,[0],[0],4056,0.01,40,1,0,1
57,log_1013_1708942989.xes,0.3,na,[],0,0,0,0,sudden,[],[],4056,0.01,40,0,0,0
58,log_1013_1708942989.xes,0.3,na,[],0,0,0,0,gradual_start,[],[],4056,0.01,40,0,0,0
59,log_1013_1708942989.xes,0.3,na,[],0,0,0,0,gradual_end,[],[],4056,0.01,40,0,0,0
60,log_1014_1708942991.xes,0.6,na,"['gradual', 'sudden']",2,3,1,1,no_drift,[],[],5716,0.01,57,0,0,0
61,log_1014_1708942991.xes,0.6,na,"['gradual', 'sudden']",2,3,1,1,sudden,[3861],[4029],5716,0.01,57,0,1,1
62,log_1014_1708942991.xes,0.6,na,"['gradual', 'sudden']",2,3,1,1,gradual_start,[1905],[],5716,0.01,57,0,0,1
63,log_1014_1708942991.xes,0.6,na,"['gradual', 'sudden']",2,3,1,1,gradual_end,[2463],[],5716,0.01,57,0,0,1
64,log_1015_1708942999.xes,0.6,na,['gradual'],1,2,0,1,no_drift,[],[0],3218,0.01,32,0,1,0
65,log_1015_1708942999.xes,0.6,na,['gradual'],1,2,0,1,sudden,[],[],3218,0.01,32,0,0,0
66,log_1015_1708942999.xes,0.6,na,['gradual'],1,2,0,1,gradual_start,[1481],[],3218,0.01,32,0,0,1
67,log_1015_1708942999.xes,0.6,na,['gradual'],1,2,0,1,gradual_end,[1932],[],3218,0.01,32,0,0,1
68,log_1016_1708943001.xes,0.0,na,"['sudden', 'sudden', 'sudden']",3,3,3,0,no_drift,[],[],5705,0.01,57,0,0,0
69,log_1016_1708943001.xes,0.0,na,"['sudden', 'sudden', 'sudden']",3,3,3,0,sudden,"[1229, 3050, 4213]","[1209, 3025, 4202]",5705,0.01,57,3,0,3
70,log_1016_1708943001.xes,0.0,na,"['sudden', 'sudden', 'sudden']",3,3,3,0,gradual_start,[],[],5705,0.01,57,0,0,0
71,log_1016_1708943001.xes,0.0,na,"['sudden', 'sudden', 'sudden']",3,3,3,0,gradual_end,[],[],5705,0.01,57,0,0,0
72,log_1017_1708943006.xes,0.3,na,"['gradual', 'sudden']",2,3,1,1,no_drift,[],[],5978,0.01,59,0,0,0
73,log_1017_1708943006.xes,0.3,na,"['gradual', 'sudden']",2,3,1,1,sudden,[4142],"[2199, 4184]",5978,0.01,59,1,1,1
74,log_1017_1708943006.xes,0.3,na,"['gradual', 'sudden']",2,3,1,1,gradual_start,[1970],[],5978,0.01,59,0,0,1
75,log_1017_1708943006.xes,0.3,na,"['gradual', 'sudden']",2,3,1,1,gradual_end,[2537],[],5978,0.01,59,0,0,1
76,log_1018_1708943011.xes,0.6,na,[],0,0,0,0,no_drift,[0],[0],5148,0.01,51,1,0,1
77,log_1018_1708943011.xes,0.6,na,[],0,0,0,0,sudden,[],[],5148,0.01,51,0,0,0
78,log_1018_1708943011.xes,0.6,na,[],0,0,0,0,gradual_start,[],[],5148,0.01,51,0,0,0
79,log_1018_1708943011.xes,0.6,na,[],0,0,0,0,gradual_end,[],[],5148,0.01,51,0,0,0
80,log_1019_1708943014.xes,0.0,na,"['gradual', 'gradual']",2,4,0,2,no_drift,[],[0],5603,0.01,56,0,1,0
81,log_1019_1708943014.xes,0.0,na,"['gradual', 'gradual']",2,4,0,2,sudden,[],[],5603,0.01,56,0,0,0
82,log_1019_1708943014.xes,0.0,na,"['gradual', 'gradual']",2,4,0,2,gradual_start,"[1434, 3340]",[],5603,0.01,56,0,0,2
83,log_1019_1708943014.xes,0.0,na,"['gradual', 'gradual']",2,4,0,2,gradual_end,"[1744, 3827]",[],5603,0.01,56,0,0,2
84,log_101_1708942821.xes,0.3,na,"['sudden', 'sudden']",2,2,2,0,no_drift,[],[],4272,0.01,42,0,0,0
85,log_101_1708942821.xes,0.3,na,"['sudden', 'sudden']",2,2,2,0,sudden,"[1107, 2973]",[1155],4272,0.01,42,0,1,2
86,log_101_1708942821.xes,0.3,na,"['sudden', 'sudden']",2,2,2,0,gradual_start,[],[],4272,0.01,42,0,0,0
87,log_101_1708942821.xes,0.3,na,"['sudden', 'sudden']",2,2,2,0,gradual_end,[],[],4272,0.01,42,0,0,0
88,log_1020_1708943018.xes,0.6,na,[],0,0,0,0,no_drift,[0],[0],7112,0.01,71,1,0,1
89,log_1020_1708943018.xes,0.6,na,[],0,0,0,0,sudden,[],[],7112,0.01,71,0,0,0
90,log_1020_1708943018.xes,0.6,na,[],0,0,0,0,gradual_start,[],[],7112,0.01,71,0,0,0
91,log_1020_1708943018.xes,0.6,na,[],0,0,0,0,gradual_end,[],[],7112,0.01,71,0,0,0
92,log_1021_1708943024.xes,0.3,na,[],0,0,0,0,no_drift,[0],[0],1243,0.01,12,1,0,1
93,log_1021_1708943024.xes,0.3,na,[],0,0,0,0,sudden,[],[],1243,0.01,12,0,0,0
94,log_1021_1708943024.xes,0.3,na,[],0,0,0,0,gradual_start,[],[],1243,0.01,12,0,0,0
95,log_1021_1708943024.xes,0.3,na,[],0,0,0,0,gradual_end,[],[],1243,0.01,12,0,0,0
96,log_1022_1708943026.xes,0.6,na,"['sudden', 'gradual', 'gradual']",3,5,1,2,no_drift,[],[],6899,0.01,68,0,0,0
97,log_1022_1708943026.xes,0.6,na,"['sudden', 'gradual', 'gradual']",3,5,1,2,sudden,[1136],[],6899,0.01,68,0,0,1
98,log_1022_1708943026.xes,0.6,na,"['sudden', 'gradual', 'gradual']",3,5,1,2,gradual_start,"[3118, 5417]",[2170],6899,0.01,68,0,1,2
99,log_1022_1708943026.xes,0.6,na,"['sudden', 'gradual', 'gradual']",3,5,1,2,gradual_end,"[3571, 5870]",[5596],6899,0.01,68,0,1,2
100,log_1023_1708943039.xes,0.0,na,"['sudden', 'gradual', 'gradual']",3,5,1,2,no_drift,[],[],7720,0.01,77,0,0,0
101,log_1023_1708943039.xes,0.0,na,"['sudden', 'gradual', 'gradual']",3,5,1,2,sudden,[1970],[1938],7720,0.01,77,1,0,1
102,log_1023_1708943039.xes,0.0,na,"['sudden', 'gradual', 'gradual']",3,5,1,2,gradual_start,"[3693, 5926]",[],7720,0.01,77,0,0,2
103,log_1023_1708943039.xes,0.0,na,"['sudden', 'gradual', 'gradual']",3,5,1,2,gradual_end,"[3997, 6384]",[],7720,0.01,77,0,0,2
104,log_1024_1708943050.xes,0.3,na,[],0,0,0,0,no_drift,[0],[0],5484,0.01,54,1,0,1
105,log_1024_1708943050.xes,0.3,na,[],0,0,0,0,sudden,[],[],5484,0.01,54,0,0,0
106,log_1024_1708943050.xes,0.3,na,[],0,0,0,0,gradual_start,[],[],5484,0.01,54,0,0,0
107,log_1024_1708943050.xes,0.3,na,[],0,0,0,0,gradual_end,[],[],5484,0.01,54,0,0,0
108,log_1025_1708943060.xes,0.0,na,"['sudden', 'sudden']",2,2,2,0,no_drift,[],[],5126,0.01,51,0,0,0
109,log_1025_1708943060.xes,0.0,na,"['sudden', 'sudden']",2,2,2,0,sudden,"[1353, 3184]",[3189],5126,0.01,51,1,0,2
110,log_1025_1708943060.xes,0.0,na,"['sudden', 'sudden']",2,2,2,0,gradual_start,[],[],5126,0.01,51,0,0,0
111,log_1025_1708943060.xes,0.0,na,"['sudden', 'sudden']",2,2,2,0,gradual_end,[],[],5126,0.01,51,0,0,0
112,log_1026_1708943068.xes,0.6,na,"['gradual', 'gradual']",2,4,0,2,no_drift,[],[0],6028,0.01,60,0,1,0
