,Detected Changepoints,Actual Changepoints,Predicted Drift Types,Actual Drift Types,F1-Score,Precision,Recall,Average Lag,y_pred_sorted,y_true_sorted,n_traces
log_1000_1708942931.xes,[],[],[],[],,,,,[],[],3722
log_1001_1708942933.xes,"[(2168, 2168), (3755, 3755)]","[(1935, 2275), (3671, 4225)]","['sudden', 'sudden']","['gradual', 'gradual']",,,,,"[nan, nan, 'sudden', 'sudden']","['gradual', 'gradual', nan, nan]",5331
log_1002_1708942938.xes,"[(2010, 2010)]","[(1891, 2281)]",['sudden'],['gradual'],,,,,"[nan, 'sudden']","['gradual', nan]",3700
log_1003_1708942940.xes,[],"[(1296, 1296)]",[],['sudden'],,,,,[nan],['sudden'],2608
log_1004_1708942942.xes,"[(3171, 3171)]","[(1185, 1530), (3149, 3149)]",['sudden'],"['gradual', 'sudden']",0.6666666666666666,1.0,0.5,44.0,"['sudden', nan]","['sudden', 'gradual']",4487
log_1005_1708942944.xes,"[(1894, 1894)]","[(1863, 2166)]",['sudden'],['gradual'],,,,,"[nan, 'sudden']","['gradual', nan]",4120
log_1006_1708942947.xes,"[(1329, 1329)]","[(1121, 1630)]",['sudden'],['gradual'],,,,,"[nan, 'sudden']","['gradual', nan]",3236
log_1007_1708942952.xes,"[(1581, 1581), (3760, 3760)]","[(1328, 1732), (3635, 4141)]","['sudden', 'sudden']","['gradual', 'gradual']",,,,,"[nan, nan, 'sudden', 'sudden']","['gradual', 'gradual', nan, nan]",5332
log_1008_1708942956.xes,[],"[(1870, 1870), (3275, 3845), (5000, 5552)]",[],"['sudden', 'gradual', 'gradual']",,,,,"[nan, nan, nan]","['sudden', 'gradual', 'gradual']",6595
log_1009_1708942959.xes,"[(1825, 1825), (3512, 3512)]","[(1749, 1749), (3355, 3355), (5348, 5348)]","['sudden', 'sudden']","['sudden', 'sudden', 'sudden']",0.8,1.0,0.6666666666666666,233.0,"['sudden', 'sudden', nan]","['sudden', 'sudden', 'sudden']",7169
log_100_1708942821.xes,"[(1009, 1009)]","[(1036, 1036)]",['sudden'],['sudden'],1.0,1.0,1.0,54.0,['sudden'],['sudden'],2112
log_1010_1708942967.xes,"[(1365, 1365)]","[(1429, 1429), (3355, 3908)]",['sudden'],"['sudden', 'gradual']",0.6666666666666666,1.0,0.5,128.0,"['sudden', nan]","['sudden', 'gradual']",5537
log_1011_1708942978.xes,[],"[(1734, 1734), (3470, 3470), (4902, 4902)]",[],"['sudden', 'sudden', 'sudden']",,,,,"[nan, nan, nan]","['sudden', 'sudden', 'sudden']",6666
log_1012_1708942983.xes,"[(1860, 1860)]","[(1661, 1661), (3049, 3049)]",['sudden'],"['sudden', 'sudden']",0.6666666666666666,1.0,0.5,398.0,"['sudden', nan]","['sudden', 'sudden']",4477
log_1013_1708942989.xes,[],[],[],[],,,,,[],[],4056
log_1014_1708942991.xes,"[(2288, 2288), (4051, 4051)]","[(1905, 2463), (3861, 3861)]","['sudden', 'sudden']","['gradual', 'sudden']",0.5,0.5,0.5,380.0,"['sudden', nan, 'sudden']","['sudden', 'gradual', nan]",5716
log_1015_1708942999.xes,[],"[(1481, 1932)]",[],['gradual'],,,,,[nan],['gradual'],3218
log_1016_1708943001.xes,[],"[(1229, 1229), (3050, 3050), (4213, 4213)]",[],"['sudden', 'sudden', 'sudden']",,,,,"[nan, nan, nan]","['sudden', 'sudden', 'sudden']",5705
log_1017_1708943006.xes,"[(2243, 2243), (4269, 4269)]","[(1970, 2537), (4142, 4142)]","['sudden', 'sudden']","['gradual', 'sudden']",0.5,0.5,0.5,254.0,"['sudden', nan, 'sudden']","['sudden', 'gradual', nan]",5978
log_1018_1708943011.xes,[],[],[],[],,,,,[],[],5148
log_1019_1708943014.xes,[],"[(1434, 1744), (3340, 3827)]",[],"['gradual', 'gradual']",,,,,"[nan, nan]","['gradual', 'gradual']",5603
log_101_1708942821.xes,"[(1146, 1146), (3024, 3024)]","[(1107, 1107), (2973, 2973)]","['sudden', 'sudden']","['sudden', 'sudden']",1.0,1.0,1.0,90.0,"['sudden', 'sudden']","['sudden', 'sudden']",4272
log_1020_1708943018.xes,[],[],[],[],,,,,[],[],7112
log_1021_1708943024.xes,[],[],[],[],,,,,[],[],1243
log_1022_1708943026.xes,"[(1612, 1612)]","[(1136, 1136), (3118, 3571), (5417, 5870)]",['sudden'],"['sudden', 'gradual', 'gradual']",0.5,1.0,0.3333333333333333,952.0,"['sudden', nan, nan]","['sudden', 'gradual', 'gradual']",6899
log_1023_1708943039.xes,"[(1931, 1931)]","[(1970, 1970), (3693, 3997), (5926, 6384)]",['sudden'],"['sudden', 'gradual', 'gradual']",0.5,1.0,0.3333333333333333,78.0,"['sudden', nan, nan]","['sudden', 'gradual', 'gradual']",7720
log_1024_1708943050.xes,[],[],[],[],,,,,[],[],5484
log_1025_1708943060.xes,"[(3171, 3171)]","[(1353, 1353), (3184, 3184)]",['sudden'],"['sudden', 'sudden']",0.6666666666666666,1.0,0.5,26.0,"['sudden', nan]","['sudden', 'sudden']",5126
log_1026_1708943068.xes,"[(3233, 3368)]","[(1988, 2495), (3771, 4368)]",['gradual'],"['gradual', 'gradual']",,,,,"[nan, nan, 'gradual']","['gradual', 'gradual', nan]",6028
log_1027_1708942889.xes,"[(1800, 1800)]","[(1655, 1655)]",['sudden'],['sudden'],1.0,1.0,1.0,290.0,['sudden'],['sudden'],3295
log_1028_1708942893.xes,"[(2126, 2126)]","[(1924, 2309)]",['sudden'],['gradual'],,,,,"[nan, 'sudden']","['gradual', nan]",4239
log_1029_1708942897.xes,[],"[(1609, 2175), (3960, 3960), (5375, 5907)]",[],"['gradual', 'sudden', 'gradual']",,,,,"[nan, nan, nan]","['gradual', 'sudden', 'gradual']",7180
log_102_1708942825.xes,"[(1942, 1942), (3975, 3975)]","[(1689, 2008), (3873, 3873)]","['sudden', 'sudden']","['gradual', 'sudden']",0.5,0.5,0.5,204.0,"['sudden', nan, 'sudden']","['sudden', 'gradual', nan]",5845
log_1030_1708942904.xes,"[(1891, 1891)]","[(1851, 1851)]",['sudden'],['sudden'],1.0,1.0,1.0,80.0,['sudden'],['sudden'],3265
log_1031_1708942906.xes,[],"[(1099, 1531), (2580, 3130)]",[],"['gradual', 'gradual']",,,,,"[nan, nan]","['gradual', 'gradual']",4750
log_1032_1708942909.xes,"[(3225, 3225)]","[(1058, 1460), (3094, 3094)]",['sudden'],"['gradual', 'sudden']",0.6666666666666666,1.0,0.5,262.0,"['sudden', nan]","['sudden', 'gradual']",5055
log_1033_1708942922.xes,"[(1290, 1290)]","[(1311, 1311), (2518, 3019), (4629, 5199)]",['sudden'],"['sudden', 'gradual', 'gradual']",0.5,1.0,0.3333333333333333,42.0,"['sudden', nan, nan]","['sudden', 'gradual', 'gradual']",6253
log_1034_1708942931.xes,"[(2681, 2681)]","[(1174, 1174), (2552, 2552), (4224, 4695)]",['sudden'],"['sudden', 'sudden', 'gradual']",0.5,1.0,0.3333333333333333,258.0,"['sudden', nan, nan]","['sudden', 'sudden', 'gradual']",5999
log_1035_1708942945.xes,"[(1246, 1246), (2739, 2739), (4368, 4368)]","[(1169, 1481), (2708, 2708), (4313, 4630)]","['sudden', 'sudden', 'sudden']","['gradual', 'sudden', 'gradual']",0.3333333333333333,0.3333333333333333,0.3333333333333333,62.0,"['sudden', nan, nan, 'sudden', 'sudden']","['sudden', 'gradual', 'gradual', nan, nan]",5700
log_1036_1708942947.xes,"[(1861, 1861)]","[(1730, 1730), (2860, 2860)]",['sudden'],"['sudden', 'sudden']",0.6666666666666666,1.0,0.5,262.0,"['sudden', nan]","['sudden', 'sudden']",4203
log_1037_1708942957.xes,[],"[(1825, 2320), (3672, 3672), (5189, 5189)]",[],"['gradual', 'sudden', 'sudden']",,,,,"[nan, nan, nan]","['gradual', 'sudden', 'sudden']",6725
log_1038_1708942959.xes,"[(1875, 1875), (3996, 3996)]","[(1582, 2136), (3841, 4282)]","['sudden', 'sudden']","['gradual', 'gradual']",,,,,"[nan, nan, 'sudden', 'sudden']","['gradual', 'gradual', nan, nan]",6019
log_1039_1708942967.xes,"[(1952, 1952)]","[(1620, 1954), (3341, 3341), (4390, 4390)]",['sudden'],"['gradual', 'sudden', 'sudden']",,,,,"[nan, nan, nan, 'sudden']","['gradual', 'sudden', 'sudden', nan]",6373
log_103_1708942831.xes,"[(1845, 2613)]","[(1145, 1145), (2981, 3282)]",['gradual'],"['sudden', 'gradual']",,,,,"[nan, nan, 'gradual']","['sudden', 'gradual', nan]",4774
log_1040_1708942977.xes,"[(1165, 1165)]","[(1144, 1144)]",['sudden'],['sudden'],1.0,1.0,1.0,42.0,['sudden'],['sudden'],2370
log_1041_1708942979.xes,"[(1187, 1187)]","[(1195, 1195)]",['sudden'],['sudden'],1.0,1.0,1.0,16.0,['sudden'],['sudden'],2607
log_1042_1708942980.xes,"[(1346, 1346)]","[(1324, 1324)]",['sudden'],['sudden'],1.0,1.0,1.0,44.0,['sudden'],['sudden'],2603
log_1043_1708942982.xes,"[(1933, 1933)]","[(1822, 1822)]",['sudden'],['sudden'],1.0,1.0,1.0,222.0,['sudden'],['sudden'],3295
log_1044_1708942989.xes,[],"[(1041, 1612)]",[],['gradual'],,,,,[nan],['gradual'],3443
log_1045_1708942991.xes,"[(1392, 1392), (2768, 2768)]","[(1162, 1596), (2708, 3098)]","['sudden', 'sudden']","['gradual', 'gradual']",,,,,"[nan, nan, 'sudden', 'sudden']","['gradual', 'gradual', nan, nan]",4638
log_1046_1708942996.xes,[],[],[],[],,,,,[],[],1658
log_1047_1708942998.xes,"[(1489, 1489)]","[(1236, 1236), (3109, 3109)]",['sudden'],"['sudden', 'sudden']",0.6666666666666666,1.0,0.5,506.0,"['sudden', nan]","['sudden', 'sudden']",4803
log_1048_1708943006.xes,[],[],[],[],,,,,[],[],5116
log_1049_1708943012.xes,"[(2283, 2283)]","[(1620, 2069)]",['sudden'],['gradual'],,,,,"[nan, 'sudden']","['gradual', nan]",3562
log_104_1708942838.xes,"[(2000, 2000), (3572, 3572), (5525, 5525)]","[(1904, 1904), (3458, 3889), (5343, 5343)]","['sudden', 'sudden', 'sudden']","['sudden', 'gradual', 'sudden']",0.6666666666666666,0.6666666666666666,0.6666666666666666,278.0,"['sudden', 'sudden', nan, 'sudden']","['sudden', 'sudden', 'gradual', nan]",7200
log_1050_1708943014.xes,"[(1591, 1591)]","[(1613, 1613), (3411, 3411), (4821, 4821)]",['sudden'],"['sudden', 'sudden', 'sudden']",0.5,1.0,0.3333333333333333,44.0,"['sudden', nan, nan]","['sudden', 'sudden', 'sudden']",6771
log_1051_1708943029.xes,"[(1177, 1177)]","[(1146, 1146)]",['sudden'],['sudden'],1.0,1.0,1.0,62.0,['sudden'],['sudden'],2731
log_1052_1708943031.xes,[],[],[],[],,,,,[],[],1028
log_1053_1708943033.xes,"[(1556, 1556)]","[(1559, 1559)]",['sudden'],['sudden'],1.0,1.0,1.0,6.0,['sudden'],['sudden'],2902
log_1054_1708943035.xes,"[(1609, 1609)]","[(1406, 1406), (2740, 3226), (4310, 4688)]",['sudden'],"['sudden', 'gradual', 'gradual']",0.5,1.0,0.3333333333333333,406.0,"['sudden', nan, nan]","['sudden', 'gradual', 'gradual']",6134
log_1055_1708943045.xes,"[(1326, 1326)]","[(1322, 1322), (2437, 2437), (3782, 4295)]",['sudden'],"['sudden', 'sudden', 'gradual']",0.5,1.0,0.3333333333333333,8.0,"['sudden', nan, nan]","['sudden', 'sudden', 'gradual']",5767
log_1056_1708943050.xes,[],"[(1243, 1243), (2650, 2650)]",[],"['sudden', 'sudden']",,,,,"[nan, nan]","['sudden', 'sudden']",4065
log_1057_1708943057.xes,[],[],[],[],,,,,[],[],4935
log_1058_1708943060.xes,[],"[(1081, 1081), (2854, 3319)]",[],"['sudden', 'gradual']",,,,,"[nan, nan]","['sudden', 'gradual']",4949
log_1059_1708943063.xes,[],[],[],[],,,,,[],[],4532
log_105_1708942842.xes,"[(2004, 2004), (4260, 4260)]","[(1708, 2203), (4162, 4162)]","['sudden', 'sudden']","['gradual', 'sudden']",0.5,0.5,0.5,196.0,"['sudden', nan, 'sudden']","['sudden', 'gradual', nan]",5933
log_1060_1708943070.xes,[],[],[],[],,,,,[],[],1557
log_1061_1708943071.xes,"[(1649, 1649)]","[(1571, 2103), (3397, 3397)]",['sudden'],"['gradual', 'sudden']",,,,,"[nan, nan, 'sudden']","['gradual', 'sudden', nan]",5219
log_1062_1708943075.xes,"[(1196, 1196)]","[(1049, 1049)]",['sudden'],['sudden'],1.0,1.0,1.0,294.0,['sudden'],['sudden'],2076
log_1063_1708943076.xes,"[(1143, 1143)]","[(1089, 1089)]",['sudden'],['sudden'],1.0,1.0,1.0,108.0,['sudden'],['sudden'],2504
log_1064_1708943078.xes,"[(2027, 2027)]","[(1784, 2351), (3577, 4027)]",['sudden'],"['gradual', 'gradual']",,,,,"[nan, nan, 'sudden']","['gradual', 'gradual', nan]",5215
log_1065_1708942892.xes,[],"[(1400, 1400), (2630, 2630), (3765, 4336)]",[],"['sudden', 'sudden', 'gradual']",,,,,"[nan, nan, nan]","['sudden', 'sudden', 'gradual']",6331
log_1066_1708942905.xes,[],[],[],[],,,,,[],[],5466
log_1067_1708942908.xes,[],"[(1443, 1443), (3140, 3618), (5182, 5528)]",[],"['sudden', 'gradual', 'gradual']",,,,,"[nan, nan, nan]","['sudden', 'gradual', 'gradual']",6917
log_1068_1708942915.xes,"[(1519, 1519)]","[(1537, 1537)]",['sudden'],['sudden'],1.0,1.0,1.0,36.0,['sudden'],['sudden'],3332
log_1069_1708942918.xes,[],"[(1166, 1166), (2529, 2529), (3881, 3881)]",[],"['sudden', 'sudden', 'sudden']",,,,,"[nan, nan, nan]","['sudden', 'sudden', 'sudden']",5288
log_106_1708942846.xes,[],[],[],[],,,,,[],[],4617
log_1070_1708942930.xes,[],[],[],[],,,,,[],[],1577
log_1071_1708942931.xes,"[(1491, 1491)]","[(1309, 1621), (2627, 3128), (4462, 4462)]",['sudden'],"['gradual', 'gradual', 'sudden']",,,,,"[nan, nan, nan, 'sudden']","['gradual', 'gradual', 'sudden', nan]",6181
log_1072_1708942947.xes,"[(2117, 2117), (3871, 3871)]","[(1967, 2484), (3851, 3851), (4917, 5219)]","['sudden', 'sudden']","['gradual', 'sudden', 'gradual']",0.4,0.5,0.3333333333333333,40.0,"['sudden', nan, nan, 'sudden']","['sudden', 'gradual', 'gradual', nan]",7139
log_1073_1708942952.xes,"[(1905, 1905)]","[(1859, 1859)]",['sudden'],['sudden'],1.0,1.0,1.0,92.0,['sudden'],['sudden'],2992
log_1074_1708942954.xes,"[(1535, 1535)]","[(1510, 1510)]",['sudden'],['sudden'],1.0,1.0,1.0,50.0,['sudden'],['sudden'],2739
log_1075_1708942957.xes,"[(1684, 1684)]","[(1432, 1924), (3502, 4046)]",['sudden'],"['gradual', 'gradual']",,,,,"[nan, nan, 'sudden']","['gradual', 'gradual', nan]",5698
log_1076_1708942961.xes,"[(949, 949), (2634, 2634)]","[(1047, 1047), (2626, 2626)]","['sudden', 'sudden']","['sudden', 'sudden']",1.0,1.0,1.0,106.0,"['sudden', 'sudden']","['sudden', 'sudden']",3676
log_1077_1708942963.xes,"[(2105, 2105), (3353, 3353)]","[(1994, 1994), (3200, 3745)]","['sudden', 'sudden']","['sudden', 'gradual']",0.5,0.5,0.5,222.0,"['sudden', nan, 'sudden']","['sudden', 'gradual', nan]",5016
log_1078_1708942966.xes,"[(2449, 2449)]","[(1628, 1628)]",['sudden'],['sudden'],,,,,"[nan, 'sudden']","['sudden', nan]",3098
