log_name,drift_types,change_trace_idx
log_1000_1708942931.xes,,
log_1001_1708942933.xes,"sudden, sudden","[(2168, 2168), (3755, 3755)]"
log_1002_1708942938.xes,sudden,"[(2010, 2010)]"
log_1003_1708942940.xes,,
log_1004_1708942942.xes,sudden,"[(3171, 3171)]"
log_1005_1708942944.xes,sudden,"[(1894, 1894)]"
log_1006_1708942947.xes,sudden,"[(1329, 1329)]"
log_1007_1708942952.xes,"sudden, sudden","[(1581, 1581), (3760, 3760)]"
log_1008_1708942956.xes,,
log_1009_1708942959.xes,"sudden, sudden","[(1825, 1825), (3512, 3512)]"
log_100_1708942821.xes,sudden,"[(1009, 1009)]"
log_1010_1708942967.xes,sudden,"[(1365, 1365)]"
log_1011_1708942978.xes,,
log_1012_1708942983.xes,sudden,"[(1860, 1860)]"
log_1013_1708942989.xes,,
log_1014_1708942991.xes,"sudden, sudden","[(2288, 2288), (4051, 4051)]"
log_1015_1708942999.xes,,
log_1016_1708943001.xes,,
log_1017_1708943006.xes,"sudden, sudden","[(2243, 2243), (4269, 4269)]"
log_1018_1708943011.xes,,
log_1019_1708943014.xes,,
log_101_1708942821.xes,"sudden, sudden","[(1146, 1146), (3024, 3024)]"
log_1020_1708943018.xes,,
log_1021_1708943024.xes,,
log_1022_1708943026.xes,sudden,"[(1612, 1612)]"
log_1023_1708943039.xes,sudden,"[(1931, 1931)]"
log_1024_1708943050.xes,,
log_1025_1708943060.xes,sudden,"[(3171, 3171)]"
log_1026_1708943068.xes,gradual,"[(3233, 3368)]"
log_1027_1708942889.xes,sudden,"[(1800, 1800)]"
log_1028_1708942893.xes,sudden,"[(2126, 2126)]"
log_1029_1708942897.xes,,
log_102_1708942825.xes,"sudden, sudden","[(1942, 1942), (3975, 3975)]"
log_1030_1708942904.xes,sudden,"[(1891, 1891)]"
log_1031_1708942906.xes,,
log_1032_1708942909.xes,sudden,"[(3225, 3225)]"
log_1033_1708942922.xes,sudden,"[(1290, 1290)]"
log_1034_1708942931.xes,sudden,"[(2681, 2681)]"
log_1035_1708942945.xes,"sudden, sudden, sudden","[(1246, 1246), (2739, 2739), (4368, 4368)]"
log_1036_1708942947.xes,sudden,"[(1861, 1861)]"
log_1037_1708942957.xes,,
log_1038_1708942959.xes,"sudden, sudden","[(1875, 1875), (3996, 3996)]"
log_1039_1708942967.xes,sudden,"[(1952, 1952)]"
log_103_1708942831.xes,gradual,"[(1845, 2613)]"
