model_id,lag,TP,FP,FN_TP,Precision,Recall,F1 Score
model_1,0.01,6136,674,9420,0.9010279001468429,0.651380042462845,0.7561306223043747
model_1,0.025,6479,331,9420,0.9513950073421439,0.687791932059448,0.7983980283425754
model_1,0.05,6503,307,9420,0.9549192364170338,0.6903397027600849,0.8013555144793592
model_1,0.1,6504,306,9420,0.9550660792951542,0.6904458598726114,0.8014787430683918
model_1,0.15,6504,306,9420,0.9550660792951542,0.6904458598726114,0.8014787430683918
model_1,0.2,6505,305,9420,0.9552129221732746,0.690552016985138,0.8016019716574245
model_2,0.01,6202,670,9420,0.9025029103608847,0.6583864118895966,0.7613552663884113
model_2,0.025,6528,344,9420,0.9499417927823051,0.6929936305732484,0.8013749079302726
model_2,0.05,6553,319,9420,0.9535797438882422,0.6956475583864119,0.8044438988460595
model_2,0.1,6554,318,9420,0.9537252619324796,0.6957537154989384,0.8045666584826908
model_2,0.15,6554,318,9420,0.9537252619324796,0.6957537154989384,0.8045666584826908
model_2,0.2,6554,318,9420,0.9537252619324796,0.6957537154989384,0.8045666584826908
model_3,0.01,6102,661,9420,0.9022623096259057,0.6477707006369426,0.7541246987579558
model_3,0.025,6422,341,9420,0.9495785893834098,0.6817409766454352,0.7936723722424767
model_3,0.05,6451,312,9420,0.9538666272364336,0.6848195329087049,0.7972563801520115
model_3,0.1,6453,310,9420,0.9541623539849179,0.685031847133758,0.7975035531112896
model_3,0.15,6453,310,9420,0.9541623539849179,0.685031847133758,0.7975035531112896
model_3,0.2,6453,310,9420,0.9541623539849179,0.685031847133758,0.7975035531112896
model_4,0.01,6195,675,9420,0.9017467248908297,0.6576433121019108,0.7605893186003684
model_4,0.025,6537,333,9420,0.951528384279476,0.6939490445859873,0.8025782688766114
model_4,0.05,6558,312,9420,0.9545851528384279,0.6961783439490445,0.8051565377532228
model_4,0.1,6559,311,9420,0.9547307132459971,0.6962845010615711,0.8052793124616329
model_4,0.15,6559,311,9420,0.9547307132459971,0.6962845010615711,0.8052793124616329
model_4,0.2,6560,310,9420,0.9548762736535662,0.6963906581740976,0.805402087170043
model_5,0.01,6029,682,9420,0.8983758009238564,0.6400212314225053,0.7475048044138615
model_5,0.025,6339,372,9420,0.9445686186857398,0.6729299363057325,0.7859401153059328
model_5,0.05,6360,351,9420,0.9476978095663835,0.6751592356687898,0.7885437976566859
model_5,0.1,6362,349,9420,0.9479958277454925,0.6753715498938428,0.7887917674043767
model_5,0.15,6362,349,9420,0.9479958277454925,0.6753715498938428,0.7887917674043767
model_5,0.2,6362,349,9420,0.9479958277454925,0.6753715498938428,0.7887917674043767
