,log_name,noise_level,complexity,drift_pattern,n_drifts,n_change_points,n_sudden,n_gradual,drift_type,actual_cp,detected_cp,log_size,lag,lag_indices,TP,FP,FN_TP
0,log_419_1708942732.xes,0.0,na,[],0,0,0,0,no_drift,[0],[0],1029,0.15,154,1,0,1
1,log_419_1708942732.xes,0.0,na,[],0,0,0,0,sudden,[],[],1029,0.15,154,0,0,0
2,log_419_1708942732.xes,0.0,na,[],0,0,0,0,gradual_start,[],[],1029,0.15,154,0,0,0
3,log_419_1708942732.xes,0.0,na,[],0,0,0,0,gradual_end,[],[],1029,0.15,154,0,0,0
4,log_116_1708942735.xes,0.3,na,[],0,0,0,0,no_drift,[0],[0],1250,0.15,187,1,0,1
5,log_116_1708942735.xes,0.3,na,[],0,0,0,0,sudden,[],[],1250,0.15,187,0,0,0
6,log_116_1708942735.xes,0.3,na,[],0,0,0,0,gradual_start,[],[],1250,0.15,187,0,0,0
7,log_116_1708942735.xes,0.3,na,[],0,0,0,0,gradual_end,[],[],1250,0.15,187,0,0,0
8,log_1_1708942732.xes,0.3,na,"['gradual', 'gradual']",2,4,0,2,no_drift,[],[],5545,0.15,831,0,0,0
9,log_1_1708942732.xes,0.3,na,"['gradual', 'gradual']",2,4,0,2,sudden,[],[],5545,0.15,831,0,0,0
10,log_1_1708942732.xes,0.3,na,"['gradual', 'gradual']",2,4,0,2,gradual_start,"[1610, 3321]",[3295],5545,0.15,831,1,0,2
11,log_1_1708942732.xes,0.3,na,"['gradual', 'gradual']",2,4,0,2,gradual_end,"[2025, 3738]",[3727],5545,0.15,831,1,0,2
12,log_876_1708942736.xes,0.6,na,['sudden'],1,1,1,0,no_drift,[],[],2641,0.15,396,0,0,0
13,log_876_1708942736.xes,0.6,na,['sudden'],1,1,1,0,sudden,[1448],[1457],2641,0.15,396,1,0,1
14,log_876_1708942736.xes,0.6,na,['sudden'],1,1,1,0,gradual_start,[],[],2641,0.15,396,0,0,0
15,log_876_1708942736.xes,0.6,na,['sudden'],1,1,1,0,gradual_end,[],[],2641,0.15,396,0,0,0
16,log_381_1708942732.xes,0.3,na,[],0,0,0,0,no_drift,[0],[0],5850,0.15,877,1,0,1
17,log_381_1708942732.xes,0.3,na,[],0,0,0,0,sudden,[],[],5850,0.15,877,0,0,0
18,log_381_1708942732.xes,0.3,na,[],0,0,0,0,gradual_start,[],[],5850,0.15,877,0,0,0
19,log_381_1708942732.xes,0.3,na,[],0,0,0,0,gradual_end,[],[],5850,0.15,877,0,0,0
20,log_39_1708942732.xes,0.6,na,[],0,0,0,0,no_drift,[0],[0],3426,0.15,513,1,0,1
21,log_39_1708942732.xes,0.6,na,[],0,0,0,0,sudden,[],[],3426,0.15,513,0,0,0
22,log_39_1708942732.xes,0.6,na,[],0,0,0,0,gradual_start,[],[],3426,0.15,513,0,0,0
23,log_39_1708942732.xes,0.6,na,[],0,0,0,0,gradual_end,[],[],3426,0.15,513,0,0,0
24,log_154_1708942735.xes,0.6,na,[],0,0,0,0,no_drift,[0],[0],2328,0.15,349,1,0,1
25,log_154_1708942735.xes,0.6,na,[],0,0,0,0,sudden,[],[],2328,0.15,349,0,0,0
26,log_154_1708942735.xes,0.6,na,[],0,0,0,0,gradual_start,[],[],2328,0.15,349,0,0,0
27,log_154_1708942735.xes,0.6,na,[],0,0,0,0,gradual_end,[],[],2328,0.15,349,0,0,0
28,log_457_1708942732.xes,0.6,na,[],0,0,0,0,no_drift,[0],[0],5601,0.15,840,1,0,1
29,log_457_1708942732.xes,0.6,na,[],0,0,0,0,sudden,[],[],5601,0.15,840,0,0,0
