,Detected Changepoints,Actual Changepoints,Predicted Drift Types,Actual Drift Types,F1-Score,Precision,Recall,Average Lag,y_pred_sorted,y_true_sorted,n_traces
log_419_1708942732.xes,[],[],[],[],,,,,[],[],1029
log_116_1708942735.xes,[],[],[],[],,,,,[],[],1250
log_1_1708942732.xes,"[(3322, 3727)]","[(1610, 2025), (3321, 3738)]",['gradual'],"['gradual', 'gradual']",0.6666666666666666,1.0,0.5,12.0,"['gradual', nan]","['gradual', 'gradual']",5545
log_876_1708942736.xes,"[(1444, 1444)]","[(1448, 1448)]",['sudden'],['sudden'],1.0,1.0,1.0,8.0,['sudden'],['sudden'],2641
log_381_1708942732.xes,[],[],[],[],,,,,[],[],5850
log_39_1708942732.xes,[],[],[],[],,,,,[],[],3426
log_154_1708942735.xes,[],[],[],[],,,,,[],[],2328
log_457_1708942732.xes,[],[],[],[],,,,,[],[],5601
log_115_1708942732.xes,[],[],[],[],,,,,[],[],3681
log_610_1708942734.xes,[],[],[],[],,,,,[],[],4096
log_382_1708942734.xes,"[(3073, 3073)]","[(1542, 1542), (3084, 3084)]",['sudden'],"['sudden', 'sudden']",0.6666666666666666,1.0,0.5,22.0,"['sudden', nan]","['sudden', 'sudden']",4882
log_799_1708942732.xes,[],[],[],[],,,,,[],[],2786
log_609_1708942732.xes,[],"[(1410, 1410)]",[],['sudden'],,,,,[nan],['sudden'],2609
log_685_1708942732.xes,"[(1956, 1956)]","[(1990, 1990), (3195, 3195)]",['sudden'],"['sudden', 'sudden']",0.6666666666666666,1.0,0.5,68.0,"['sudden', nan]","['sudden', 'sudden']",4716
log_495_1708942732.xes,"[(1081, 1405)]","[(1091, 1417)]",['gradual'],['gradual'],1.0,1.0,1.0,22.0,['gradual'],['gradual'],2546
log_761_1708942732.xes,"[(1261, 1261)]","[(1287, 1287)]",['sudden'],['sudden'],1.0,1.0,1.0,52.0,['sudden'],['sudden'],2941
log_2_1708942735.xes,"[(1261, 1583)]","[(1231, 1624)]",['gradual'],['gradual'],1.0,1.0,1.0,71.0,['gradual'],['gradual'],2808
log_153_1708942732.xes,[],[],[],[],,,,,[],[],5955
log_229_1708942732.xes,[],[],[],[],,,,,[],[],5096
log_913_1708942732.xes,"[(3612, 3612), (1358, 1680)]","[(1368, 1711), (3626, 3626)]","['sudden', 'gradual']","['gradual', 'sudden']",1.0,1.0,1.0,34.5,"['sudden', 'gradual']","['sudden', 'gradual']",4690
log_837_1708942732.xes,"[(1777, 2113)]","[(1808, 2152)]",['gradual'],['gradual'],1.0,1.0,1.0,70.0,['gradual'],['gradual'],3216
log_267_1708942732.xes,"[(4609, 5089), (2849, 3201)]","[(1056, 1483), (2864, 3203), (4643, 5067)]","['gradual', 'gradual']","['gradual', 'gradual', 'gradual']",0.8,1.0,0.6666666666666666,36.5,"['gradual', 'gradual', nan]","['gradual', 'gradual', 'gradual']",6422
log_420_1708942732.xes,"[(2290, 2752), (1240, 1240)]","[(1246, 1246), (2284, 2774)]","['gradual', 'sudden']","['sudden', 'gradual']",1.0,1.0,1.0,20.0,"['gradual', 'sudden']","['gradual', 'sudden']",4296
log_533_1708942732.xes,"[(3928, 3928), (1420, 2014), (5644, 5644)]","[(1451, 2020), (3982, 3982), (5658, 5658)]","['sudden', 'gradual', 'sudden']","['gradual', 'sudden', 'sudden']",1.0,1.0,1.0,57.666666666666664,"['sudden', 'gradual', 'sudden']","['sudden', 'gradual', 'sudden']",6790
log_305_1708942732.xes,"[(4865, 4865), (3553, 3553)]","[(1393, 1835), (3592, 3592), (4915, 4915)]","['sudden', 'sudden']","['gradual', 'sudden', 'sudden']",0.8,1.0,0.6666666666666666,89.0,"['sudden', 'sudden', nan]","['sudden', 'sudden', 'gradual']",6423
log_875_1708942732.xes,[],[],[],[],,,,,[],[],6944
log_343_1708942732.xes,[],"[(1868, 2419), (4233, 4688)]",[],"['gradual', 'gradual']",,,,,"[nan, nan]","['gradual', 'gradual']",6232
log_914_1708942736.xes,[],[],[],[],,,,,[],[],1096
log_421_1708942737.xes,[],[],[],[],,,,,[],[],1396
