,log_name,complexity,actual_cp,detected_cp,log_size,lag_indices,TP,FP,FN_TP,lag
0,bose_log,na,"[1199, 2399, 3599, 4799]",[],6000,60,0,0,4,0.01
1,sudden_trace_noise5_1000_IOR,na,[499],[500],1000,10,1,0,1,0.01
2,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,na,"[999, 1999]","[959, 1973]",2999,29,1,1,2,0.01
3,Atomic_ConditionalMove_output_ConditionalMove,na,"[999, 1999]","[930, 1944]",2999,29,0,2,2,0.01
4,Atomic_ConditionalRemoval_output_ConditionalRemoval_2,na,"[999, 1999]","[928, 1944]",2999,29,0,2,2,0.01
5,Atomic_ConditionalToSequence_output_ConditionalToSequence_5,na,"[999, 1999]","[1946, 958]",2999,29,0,2,2,0.01
6,Atomic_ConditionalRemoval_output_ConditionalRemoval,na,"[999, 1999]","[928, 1944]",2999,29,0,2,2,0.01
7,Atomic_ConditionalToSequence_output_ConditionalToSequence_2,na,"[999, 1999]","[1946, 930]",2999,29,0,2,2,0.01
8,Atomic_Frequency_output_Frequency_5,na,"[999, 1999]","[899, 1944]",2999,29,0,2,2,0.01
9,Atomic_ConditionalToSequence_output_ConditionalToSequence,na,"[999, 1999]","[1946, 958]",2999,29,0,2,2,0.01
10,Atomic_Frequency_output_Frequency_2,na,"[999, 1999]","[1944, 930]",2999,29,0,2,2,0.01
11,Atomic_Loop_output_Loop_5,na,"[999, 1999]","[929, 1945]",2999,29,0,2,2,0.01
12,Atomic_Frequency_output_Frequency,na,"[999, 1999]","[1944, 930]",2999,29,0,2,2,0.01
13,Atomic_Loop_output_Loop_2,na,"[999, 1999]","[929, 1945]",2999,29,0,2,2,0.01
14,Atomic_ParallelMove_output_ParallelMove_5,na,"[999, 1999]","[928, 1917]",2999,29,0,2,2,0.01
15,Atomic_Loop_output_Loop,na,"[999, 1999]","[929, 1945]",2999,29,0,2,2,0.01
16,Atomic_ParallelMove_output_ParallelMove_2,na,"[999, 1999]","[1945, 930]",2999,29,0,2,2,0.01
17,Atomic_ParallelRemoval_output_ParallelRemoval_5,na,"[999, 1999]","[930, 1944]",2999,29,0,2,2,0.01
18,Atomic_ParallelMove_output_ParallelMove,na,"[999, 1999]","[928, 1917]",2999,29,0,2,2,0.01
19,Atomic_ParallelRemoval_output_ParallelRemoval_2,na,"[999, 1999]","[930, 1944]",2999,29,0,2,2,0.01
20,Atomic_ParallelToSequence_output_ParallelToSequence_5,na,"[999, 1999]","[929, 1946]",2999,29,0,2,2,0.01
21,Atomic_ParallelRemoval_output_ParallelRemoval,na,"[999, 1999]","[930, 1944]",2999,29,0,2,2,0.01
22,Atomic_ParallelToSequence_output_ParallelToSequence_2,na,"[999, 1999]","[929, 1916]",2999,29,0,2,2,0.01
23,Atomic_SerialMove_output_SerialMove_5,na,"[999, 1999]","[1944, 930]",2999,29,0,2,2,0.01
24,Atomic_ParallelToSequence_output_ParallelToSequence,na,"[999, 1999]","[929, 1916]",2999,29,0,2,2,0.01
25,Atomic_SerialMove_output_SerialMove_2,na,"[999, 1999]","[930, 1944]",2999,29,0,2,2,0.01
26,Atomic_SerialRemoval_output_SerialRemoval_5,na,"[999, 1999]","[931, 1943]",2999,29,0,2,2,0.01
27,Atomic_SerialMove_output_SerialMove,na,"[999, 1999]","[930, 1944]",2999,29,0,2,2,0.01
28,Atomic_SerialRemoval_output_SerialRemoval_2,na,"[999, 1999]","[931, 1943]",2999,29,0,2,2,0.01
29,Atomic_Skip_output_Skip_5,na,"[999, 1999]","[958, 1944]",2999,29,0,2,2,0.01
30,Atomic_SerialRemoval_output_SerialRemoval,na,"[999, 1999]","[931, 1943]",2999,29,0,2,2,0.01
31,Atomic_Skip_output_Skip_2,na,"[999, 1999]","[1944, 929]",2999,29,0,2,2,0.01
32,Atomic_Substitute_output_Substitute_5,na,"[999, 1999]","[1944, 930]",2999,29,0,2,2,0.01
33,Atomic_Skip_output_Skip,na,"[999, 1999]","[929, 1944]",2999,29,0,2,2,0.01
34,Atomic_Substitute_output_Substitute_2,na,"[999, 1999]","[930, 1944]",2999,29,0,2,2,0.01
