,collection,noise_level,log_name,trace_length,event_class_size,unique_traces,log_size
0,input,train,log_1933_1708942448.xes,1.3212412587412588,12.0,50.0,2288.0
1,input,train,log_3530_1708942450.xes,6.034692107545533,6.0,422.0,1153.0
2,input,train,log_4118_1708942450.xes,1.7721439749608763,6.0,7.0,3195.0
3,input,train,log_2942_1708942450.xes,3.0,6.0,18.0,2469.0
4,input,train,log_3698_1708942449.xes,2.416809116809117,9.0,698.0,3510.0
5,input,train,log_4119_1708942450.xes,11.720930232558139,11.0,653.0,1118.0
6,input,train,log_591_1708942450.xes,2.6515151515151514,11.0,881.0,3432.0
7,input,train,log_505_1708942448.xes,3.01472,6.0,3.0,3125.0
8,input,train,log_2774_1708942450.xes,7.961586121437422,6.0,55.0,1614.0
9,input,train,log_1766_1708942451.xes,3.0,5.0,3.0,3430.0
10,input,train,log_2690_1708942450.xes,4.792528558196975,14.0,750.0,3239.0
11,input,train,log_2439_1708942450.xes,3.846929422548121,6.0,770.0,3273.0
12,input,train,log_2775_1708942450.xes,5.0,7.0,4.0,2555.0
13,input,train,log_1429_1708942448.xes,9.114427860696518,11.0,521.0,1608.0
14,input,train,log_590_1708942449.xes,4.49480021893815,6.0,874.0,3654.0
15,input,train,log_2101_1708942448.xes,5.979429051217465,6.0,1028.0,2382.0
16,input,train,log_2354_1708942450.xes,2.328169014084507,6.0,13.0,6390.0
17,input,train,log_1_1708942448.xes,4.045835829838227,12.0,1412.0,3338.0
18,input,train,log_4201_1708942448.xes,4.775833052844161,7.0,1055.0,2971.0
19,input,train,log_2438_1708942449.xes,9.477871148459384,10.0,732.0,1785.0
20,input,train,log_2857_1708942448.xes,11.653116531165312,11.0,228.0,1476.0
21,input,train,log_2437_1708942448.xes,4.881428103504749,7.0,890.0,3053.0
22,input,train,log_925_1708942448.xes,8.530139103554868,11.0,177.0,1941.0
23,input,train,log_1514_1708942450.xes,4.072459499263623,7.0,505.0,3395.0
24,input,train,log_85_1708942448.xes,2.6151822623074032,8.0,856.0,5322.0
25,input,train,log_3109_1708942448.xes,5.018814139110605,8.0,5.0,3508.0
26,input,train,log_4622_1708942450.xes,5.745683347966052,7.0,2.0,3417.0
27,input,train,log_589_1708942448.xes,4.502364687335786,7.0,6.0,3806.0
28,input,train,log_3362_1708942450.xes,10.575729068673565,12.0,692.0,2126.0
29,input,train,log_3193_1708942448.xes,6.027502398464982,7.0,1298.0,3127.0
30,input,train,log_2522_1708942450.xes,7.114285714285714,11.0,1343.0,2800.0
31,input,train,log_3110_1708942449.xes,4.0,6.0,6.0,4294.0
32,input,train,log_2606_1708942450.xes,9.275658492279746,6.0,1097.0,2202.0
33,input,train,log_1262_1708942450.xes,3.553946846489488,7.0,1069.0,5042.0
34,input,train,log_3697_1708942448.xes,4.050700466977985,7.0,1129.0,4497.0
35,input,train,log_4957_1708942448.xes,3.1035674996071037,8.0,788.0,6363.0
36,input,train,log_253_1708942448.xes,5.009309718437784,7.0,870.0,4404.0
37,input,train,log_2941_1708942448.xes,4.141955835962145,7.0,6.0,4755.0
38,input,train,log_1513_1708942448.xes,6.955408255498644,6.0,745.0,3319.0
39,input,train,log_3361_1708942448.xes,8.701457266640409,11.0,1649.0,2539.0
40,input,train,log_2521_1708942448.xes,6.1173044925124795,6.0,1136.0,3606.0
41,input,train,log_2605_1708942448.xes,5.997308209959623,6.0,707.0,4458.0
42,input,train,log_841_1708942448.xes,5.0,7.0,6.0,4296.0
43,input,train,log_3025_1708942448.xes,6.973325429756965,7.0,895.0,3374.0
44,input,train,log_673_1708942448.xes,5.995973829894313,7.0,717.0,3974.0
45,input,train,log_3866_1708942450.xes,5.0013054830287205,6.0,761.0,4596.0
46,input,train,log_1430_1708942449.xes,9.060037523452158,8.0,714.0,3198.0
47,input,train,log_1934_1708942449.xes,6.846578366445916,11.0,1111.0,3624.0
48,input,train,log_3531_1708942450.xes,4.677400353426271,6.0,808.0,5093.0
49,input,train,log_842_1708942449.xes,5.752919020715631,10.0,91.0,5310.0
50,input,train,log_1261_1708942448.xes,7.097921225382932,6.0,701.0,3656.0
51,input,train,log_674_1708942449.xes,4.642804428044281,6.0,825.0,5420.0
52,input,train,log_2943_1708942451.xes,2.220811654526535,12.0,33.0,4805.0
53,input,train,log_1177_1708942448.xes,8.881686046511629,8.0,1423.0,3440.0
54,input,train,log_4033_1708942448.xes,3.7485397633667814,8.0,935.0,6677.0
55,input,train,log_4117_1708942448.xes,5.413199148442036,8.0,1051.0,5167.0
56,input,train,log_2773_1708942448.xes,7.163930409213428,8.0,1622.0,4081.0
57,input,train,log_4874_1708942452.xes,6.998009950248756,7.0,363.0,1005.0
58,input,train,log_2524_1708942452.xes,1.5975644293401303,12.0,12.0,3531.0
59,input,train,log_3529_1708942448.xes,5.314194008559201,11.0,1489.0,5608.0
60,input,train,log_2017_1708942448.xes,6.284829721362229,6.0,948.0,4522.0
61,input,train,log_1681_1708942448.xes,6.68920704845815,8.0,1284.0,4540.0
62,input,train,log_2353_1708942448.xes,6.325908804370666,13.0,1198.0,4759.0
63,input,train,log_4623_1708942451.xes,4.226647144948756,12.0,19.0,3415.0
64,input,train,log_3865_1708942448.xes,6.429542645241038,12.0,2228.0,4854.0
65,input,train,log_1598_1708942451.xes,5.513900134952767,6.0,26.0,3705.0
66,input,train,log_2777_1708942452.xes,8.792412312097351,12.0,1037.0,1397.0
67,input,train,log_3111_1708942451.xes,7.0,7.0,12.0,2809.0
68,input,train,log_4621_1708942448.xes,7.22455730686904,6.0,1065.0,5139.0
69,input,train,log_2689_1708942448.xes,4.241237405988364,6.0,6.0,7047.0
70,input,train,log_2102_1708942449.xes,5.449070264933355,12.0,499.0,6077.0
