,log_name,drift_or_noise_id,drift_type,drift_attribute,change_trace_index,change_type,drift_traces_index
0,log_1_1708942448.xes,drift_1,gradual,change_info_1,"[78, 78, 102, 102]",gradual,"[1246, 1629]"
1,log_2_1708942449.xes,drift_1,gradual,change_info_1,"[45, 45, 60, 60]",gradual,"[1483, 1965]"
2,log_2_1708942449.xes,drift_2,gradual,change_info_1,"[90, 90, 104, 104]",gradual,"[2968, 3425]"
3,log_2_1708942449.xes,drift_3,sudden,change_info_1,"[163, 163, 163, 163]",sudden,[5368]
4,log_3_1708942452.xes,drift_1,gradual,change_info_1,"[50, 50, 72, 72]",gradual,"[1297, 1872]"
5,log_3_1708942452.xes,drift_2,gradual,change_info_1,"[128, 128, 147, 147]",gradual,"[3327, 3819]"
6,log_5_1708942457.xes,drift_1,sudden,change_info_1,"[100, 100, 100, 100]",sudden,[1090]
7,log_7_1708942459.xes,drift_1,sudden,change_info_1,"[98, 98, 98, 98]",sudden,[1462]
8,log_8_1708942460.xes,drift_1,gradual,change_info_1,"[80, 80, 109, 109]",gradual,"[1035, 1412]"
9,log_11_1708942464.xes,drift_1,sudden,change_info_1,"[82, 82, 82, 82]",sudden,[1869]
10,log_11_1708942464.xes,drift_2,sudden,change_info_1,"[153, 153, 153, 153]",sudden,[3507]
11,log_12_1708942465.xes,drift_1,sudden,change_info_1,"[51, 51, 51, 51]",sudden,[1010]
12,log_12_1708942465.xes,drift_2,sudden,change_info_1,"[145, 145, 145, 145]",sudden,[2887]
13,log_13_1708942468.xes,drift_1,sudden,change_info_1,"[90, 90, 90, 90]",sudden,[1791]
14,log_13_1708942468.xes,drift_2,sudden,change_info_1,"[142, 142, 142, 142]",sudden,[2826]
15,log_15_1708942472.xes,drift_1,gradual,change_info_1,"[68, 68, 96, 96]",gradual,"[1146, 1632]"
16,log_16_1708942473.xes,drift_1,sudden,change_info_1,"[71, 71, 71, 71]",sudden,[1766]
